,track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,track id,artist id,genres_1,genres_2,genres_3,genres_4
25,In the Dreamlife You Need a Rubber Soul,The Clean,spotify:track:5HKa6wcKiCxpBDSt3sY0mk,0.56,0.8079999999999999,10,-6.725,1,0.0306,0.2,0.308,0.41600000000000004,0.691,128.05100000000002,205827,4,30.933909999999997,11,0,5HKa6wcKiCxpBDSt3sY0mk,6LRmgzRManplPQghd2BMqz,alternative rock,c86,dunedin indie,dunedin sound
26,He Gets That From Me,Reba McEntire,spotify:track:46a3BjDPBdi6OngVhTkuM6,0.643,0.391,10,-10.09,1,0.0296,0.622,1.3800000000000002e-05,0.11,0.418,143.786,219933,4,28.431240000000003,12,1,46a3BjDPBdi6OngVhTkuM6,02rd0anEWfMtF7iMku9uor,contemporary country,country,country dawn,oklahoma country
27,Stay - 2006 Remaster,Frankie Valli & The Four Seasons,spotify:track:4T8LdAE3UU0mWIzrB9gnIg,0.735,0.732,10,-8.915,1,0.0699,0.5720000000000001,2.61e-05,0.0997,0.6559999999999999,117.58,116507,4,45.59357,5,0,4T8LdAE3UU0mWIzrB9gnIg,6mcrZQmgzFGRWf7C0SObou,adult standards,brill building pop,bubblegum pop,doo-wop
28,Improvisation 5,Joe Mcphee,spotify:track:5H1K7aT6Ox3rDBygoqVpNo,0.536,0.081,8,-20.968000000000004,1,0.0877,0.958,0.922,0.113,0.47700000000000004,138.498,186973,1,27.018629999999998,8,0,5H1K7aT6Ox3rDBygoqVpNo,27oJnNF9gM9RZp0oFSDmkC,avant-garde jazz,free improvisation,free jazz,0
29,Carlene,Phil Vassar,spotify:track:339hc1FygD8oJl4kg24IjG,0.5870000000000001,0.88,4,-5.725,1,0.0324,0.0784,0.0,0.182,0.778,129.222,246240,4,20.93198,10,1,339hc1FygD8oJl4kg24IjG,1XhhO2dTs2fKyhILj0aam6,contemporary country,country,country road,modern country rock
30,Someday,Sugar Ray,spotify:track:6NcHJ23mLQKnVxQcOmT7JW,0.743,0.67,1,-4.547,0,0.0293,0.0108,0.0702,0.22,0.934,110.83200000000001,243333,4,25.36994,12,1,6NcHJ23mLQKnVxQcOmT7JW,4uN3DsfENc7dp0OLO0FEIb,alternative metal,alternative rock,funk metal,neo mellow
31,7 Days,Craig David,spotify:track:0gPQTLaqHDgdupKEok7J2x,0.659,0.812,4,-7.499,0,0.0487,0.23,0.0,0.0951,0.888,83.01299999999999,235133,4,25.46132,12,1,0gPQTLaqHDgdupKEok7J2x,2JyWXPbkqI5ZJa3gwqVa0c,british soul,dance pop,pop,pop rap
32,True Rebel,Nitrogenetics,spotify:track:4atXnrsTrNuKSi7DMU5wdY,0.539,0.985,1,-7.354,1,0.126,0.00857,0.12,0.0792,0.127,162.065,363000,4,25.11119,17,0,4atXnrsTrNuKSi7DMU5wdY,7zXir1JPk4DA5u0Dln80VO,dark hardcore,gabba,hardcore techno,0
33,Rock Your Body,Justin Timberlake,spotify:track:1AWQoqb9bSvzTjaLralEkT,0.8909999999999999,0.7140000000000001,4,-6.055,0,0.14,0.20199999999999999,0.000234,0.0521,0.818,100.97200000000001,267267,4,37.11249,12,1,1AWQoqb9bSvzTjaLralEkT,31TPClRtHm23RisEBtV3X7,dance pop,pop,0,0
34,Bed,J. Holiday,spotify:track:6TlRNJaezOdzdECnQeRuMM,0.684,0.606,5,-7.268,0,0.0504,0.17,0.0,0.057999999999999996,0.723,127.90100000000001,275107,4,41.49527,13,1,6TlRNJaezOdzdECnQeRuMM,7G6hXrjGpi6I7waNl4wxAk,bassline,dance pop,deep pop r&b,hip pop
35,Daft Punk Is Playing at My House - Soulwax Shibuya Mix,LCD Soundsystem,spotify:track:7d7l6Qnbnqv9nkuHrh6p1N,0.6579999999999999,0.9540000000000001,9,-5.376,1,0.0792,0.000891,9.800000000000001e-06,0.115,0.486,132.029,411084,3,37.91539,18,0,7d7l6Qnbnqv9nkuHrh6p1N,066X20Nz7iquqkkCW6Jxy6,alternative dance,alternative rock,dance-punk,electronic rock
36,Scars,Papa Roach,spotify:track:1UREw2MCfU0xwBzCAjxlUD,0.47100000000000003,0.9359999999999999,11,-3.3539999999999996,1,0.0448,0.0783,0.0,0.171,0.45,89.881,208186,4,22.214129999999997,7,1,1UREw2MCfU0xwBzCAjxlUD,4RddZ3iHvSpGV4dvATac9X,alternative metal,nu metal,post-grunge,rap metal
37,Ain't It Funny,Jennifer Lopez Featuring Ja Rule,spotify:track:5ahFyKndeg1hqfmNumL3WF,0.7809999999999999,0.746,8,-2.6860000000000004,1,0.17,0.364,0.0,0.098,0.7859999999999999,89.43,229800,4,26.642979999999998,10,1,5ahFyKndeg1hqfmNumL3WF,2DlGxzQSjYe5N6G9nkYghR,dance pop,pop,pop rap,post-teen pop
38,Sound Of Madness,Shinedown,spotify:track:0W9Xvd4Qx1aZPxEi94vgRY,0.32799999999999996,0.9390000000000001,2,-1.6540000000000001,0,0.0423,4.93e-05,0.0065,0.337,0.32899999999999996,185.97099999999998,233987,4,78.255,7,1,0W9Xvd4Qx1aZPxEi94vgRY,70BYFdaZbEKbeauJ670ysI,alternative metal,nu metal,post-grunge,0
39,Here I Am,Rick Ross Featuring Nelly & Avery Storm,spotify:track:67yGTWcR72BZvsrSS2dHST,0.746,0.7170000000000001,10,-5.787999999999999,0,0.127,0.18899999999999997,0.0,0.0704,0.475,109.75299999999999,209547,4,38.40043,11,1,67yGTWcR72BZvsrSS2dHST,1sBkRIssrMs1AbVkOJbc7a,dirty south rap,gangster rap,hip hop,pop rap
40,Black Sails At Midnight,Alestorm,spotify:track:5K5lrptyRqoVYYDhADvzSM,0.493,0.977,5,-3.8080000000000003,0,0.151,7.21e-06,0.005379999999999999,0.35600000000000004,0.322,100.02,210987,4,55.87392,10,0,5K5lrptyRqoVYYDhADvzSM,3OpqU68JpZlzvjAJj3B2Da,comic,comic metal,folk metal,metal
41,Crush,David Archuleta,spotify:track:4wCD0qOFNRu1Q6O3N6ycm4,0.57,0.664,0,-4.718,0,0.0322,0.00836,1.2e-05,0.0719,0.48700000000000004,162.084,213520,4,33.46,8,1,4wCD0qOFNRu1Q6O3N6ycm4,2C9n4tQgNLhHPhSCmdsQnk,dance pop,idol,lds youth,neo mellow
42,Caustic Disco,Velvet Acid Christ,spotify:track:10ZjRxNkqhgs4BKLuggiil,0.564,0.878,7,-6.835,1,0.0499,9.11e-06,0.7929999999999999,0.6709999999999999,0.483,127.046,287600,4,50.274370000000005,11,0,10ZjRxNkqhgs4BKLuggiil,2AAS7xp8XZFaqCvmL2hyeG,aggrotech,cyberpunk,dark wave,ebm
43,Arctic,Valhall,spotify:track:4c3TPYPHOgChuFnzECCZPX,0.27699999999999997,0.836,2,-6.563,1,0.0458,0.000225,0.0284,0.11699999999999999,0.35100000000000003,95.514,267128,4,23.12976,10,0,4c3TPYPHOgChuFnzECCZPX,4PRz1NoXljrabtpfxY3cSP,doom metal,neo-trad doom metal,swedish synth,0
44,Some Beach,Blake Shelton,spotify:track:7kWeSMXLxUHHOkFxsS0vhP,0.787,0.765,0,-6.331,1,0.0265,0.231,1.7899999999999998e-05,0.32299999999999995,0.9640000000000001,115.979,204827,4,30.213040000000003,10,1,7kWeSMXLxUHHOkFxsS0vhP,1UTPBmNbXNTittyMJrNkvw,contemporary country,country,country road,oklahoma country
45,When You Lie Next To Me,Kellie Coffey,spotify:track:6EwbFB8T0uIaaRCNwAIrnS,0.312,0.40399999999999997,5,-10.014,1,0.0293,0.184,0.0,0.306,0.115,138.425,239827,4,54.21894,12,1,6EwbFB8T0uIaaRCNwAIrnS,5I83RQZnnynCnohkLJ8vot,country,country dawn,oklahoma country,0
46,"1, 2, 3, 4",Plain White T's,spotify:track:5VWmMZCfJ4yVkJw9ZLFXej,0.45799999999999996,0.55,2,-7.0920000000000005,1,0.0262,0.5660000000000001,1.39e-05,0.10800000000000001,0.56,90.56,198360,4,22.42462,10,1,5VWmMZCfJ4yVkJw9ZLFXej,1g1yxsNVPhMUl9GrMjEb2o,neo mellow,pop,pop punk,pop rock
47,Mama's Song,Carrie Underwood,spotify:track:0m8Ta268d1kBBG7lxMyWqa,0.341,0.659,2,-5.419,1,0.0357,0.442,0.0,0.096,0.26899999999999996,79.987,240240,4,25.29826,14,1,0m8Ta268d1kBBG7lxMyWqa,4xFUf1FHVy696Q1JQZMTRj,contemporary country,country,country dawn,country road
48,Occult Glider,Jazkamer,spotify:track:2Q4VI3YbXvqzq22dWmPkp8,0.168,0.8079999999999999,7,-4.563,0,0.10800000000000001,0.0329,0.9640000000000001,0.331,0.0209,91.26899999999999,745600,3,76.55211,28,0,2Q4VI3YbXvqzq22dWmPkp8,3pP1zSGj5gxdxWH30umnsv,noise,norwegian experimental,0,0
49,Hotarunohikari,Ikimonogakari,spotify:track:7HAkrW8JUYoVR9dXwb6Uku,0.5660000000000001,0.919,2,-1.901,0,0.0639,0.0666,0.0,0.34,0.55,146.99,242293,4,30.404909999999997,11,0,7HAkrW8JUYoVR9dXwb6Uku,5YneEA2nLtAhkD5t2769lZ,anime,j-pop,j-poprock,0
50,Used To Love U,John Legend,spotify:track:051NZ3rr3HXTULCEySJRX3,0.6609999999999999,0.7959999999999999,7,-4.776,1,0.0833,0.0347,0.0,0.396,0.657,87.98200000000001,210867,4,25.31054,9,1,051NZ3rr3HXTULCEySJRX3,5y2Xq6xcjJb2jVM54GHK3t,neo mellow,neo soul,pop,r&b
51,Rush,Aly & AJ,spotify:track:1dpXikU9kSyxm1mKulwHws,0.5479999999999999,0.815,2,-5.218,0,0.0409,0.0175,8.900000000000001e-06,0.127,0.212,129.963,191733,4,42.491209999999995,8,1,1dpXikU9kSyxm1mKulwHws,5wugb0kaq0J6nyQ5Xgd17i,dance pop,electropop,girl group,indie poptimism
52,I Remember,Keyshia Cole,spotify:track:1dObJGQUgJ7tWxJ0byON6W,0.42200000000000004,0.736,5,-4.426,0,0.049,0.203,0.0,0.102,0.303,129.278,260093,4,29.054240000000004,12,1,1dObJGQUgJ7tWxJ0byON6W,1vfezMIyCr4XUdYRaKIKi3,dance pop,deep pop r&b,hip pop,neo soul
53,Feeling Good - No Apologize Radio Edit,DJ Wag,spotify:track:0wuMFLlxogpv7clNUG9KmW,0.71,0.7959999999999999,0,-9.427,1,0.0554,0.00875,0.8590000000000001,0.10099999999999999,0.523,135.012,239964,4,18.225170000000002,14,0,0wuMFLlxogpv7clNUG9KmW,6ULXmNh27tv9SEkiywu2Lo,bubble trance,0,0,0
54,We Made It,Busta Rhymes Featuring Linkin Park,spotify:track:26jVcJqG66nj36jRqPBp2U,0.62,0.746,11,-6.006,1,0.0552,0.424,0.0,0.0684,0.191,138.454,238067,4,23.56907,11,1,26jVcJqG66nj36jRqPBp2U,1YfEcTuGvBQ8xSD1f53UnK,east coast hip hop,hardcore hip hop,hip hop,hip pop
55,Almost Home,Craig Morgan,spotify:track:6FW9MTGMjR5A6q2o7PLuuz,0.525,0.48100000000000004,8,-6.715,1,0.0251,0.302,0.0,0.121,0.237,75.97399999999999,289000,4,42.11222,11,1,6FW9MTGMjR5A6q2o7PLuuz,6ktyNEnEukKzskQEiXgCFD,contemporary country,country,country road,modern country rock
56,Who Let The Dogs Out,Baha Men,spotify:track:1H5tvpoApNDxvxDexoaAUo,0.8690000000000001,0.887,0,-4.505,1,0.0993,0.0605,0.0,0.14800000000000002,0.784,129.221,198400,4,29.401429999999998,10,1,1H5tvpoApNDxvxDexoaAUo,67FFKYikvTlvsPNk4NPOYJ,bahamian pop,0,0,0
57,Pollution Rock,Nordre Sving,spotify:track:0nDQHCFVIZSudI5KigcO8z,0.547,0.6829999999999999,2,-7.749,1,0.0368,0.0236,0.0,0.09300000000000001,0.888,94.93700000000001,163997,4,48.12128,8,0,0nDQHCFVIZSudI5KigcO8z,7G0BfZ10HOKlehm5ywwCeK,classic norwegian pop,danseband,norwegian country,0
58,Ordinary People,John Legend,spotify:track:2ZA4uMlSZjaoWGFqP1tsLI,0.469,0.132,10,-14.001,1,0.0807,0.929,0.0,0.0873,0.36,67.01100000000001,281467,3,23.73524,11,1,2ZA4uMlSZjaoWGFqP1tsLI,5y2Xq6xcjJb2jVM54GHK3t,neo mellow,neo soul,pop,r&b
59,Coming Back Around - Domu Re-Beat Mix,Domu,spotify:track:3ux9LeNRAgENFLcI7ZFebb,0.364,0.866,1,-6.797999999999999,1,0.139,0.0134,0.00618,0.109,0.963,189.09099999999998,374773,3,29.831220000000002,19,0,3ux9LeNRAgENFLcI7ZFebb,1qJhFa0HuwKkNvjKIxSs7W,broken beat,0,0,0
60,Living In Fast Forward,Kenny Chesney,spotify:track:0cE0J96KeivafL6goJwpmq,0.6890000000000001,0.907,9,-5.587000000000001,1,0.037000000000000005,0.0254,0.000732,0.138,0.912,116.96799999999999,211893,4,41.28787,10,1,0cE0J96KeivafL6goJwpmq,3grHWM9bx2E9vwJCdlRv9O,contemporary country,country,country road,0
61,Königin,Faun,spotify:track:5ZaquedAbEd7VAJfe0FLhE,0.602,0.32799999999999996,3,-16.128,1,0.0249,0.8420000000000001,0.000758,0.20800000000000002,0.413,108.00299999999999,385253,4,43.01027,21,0,5ZaquedAbEd7VAJfe0FLhE,2wPOgnQ6eW3X73uIJZ4YFE,hurdy-gurdy,medieval folk,medieval rock,neue deutsche harte
62,How Far,Martina McBride,spotify:track:45wdPEiLuyv4oSwWQOX93R,0.473,0.59,6,-5.372999999999999,1,0.0298,0.359,0.0,0.10099999999999999,0.33399999999999996,140.191,235307,4,38.45284,10,1,45wdPEiLuyv4oSwWQOX93R,3P33qFNGBVXl86yQYWspFj,contemporary country,country,country dawn,country road
63,5 Star,Yo Gotti,spotify:track:6N9wsG0HYEpGEr0Ihgbz5r,0.715,0.809,9,-5.598,1,0.205,0.0607,0.0,0.35200000000000004,0.636,76.493,247440,4,29.852590000000003,9,1,6N9wsG0HYEpGEr0Ihgbz5r,6Ha4aES39QiVjR0L2lwuwq,dirty south rap,gangster rap,hip hop,memphis hip hop
64,Luckiest Man,The Wood Brothers,spotify:track:26uHwSHlaK5mskSMhbRod3,0.5710000000000001,0.281,5,-10.56,1,0.0475,0.74,0.0,0.163,0.294,142.263,233667,4,42.295809999999996,9,0,26uHwSHlaK5mskSMhbRod3,6FxuPrpa8phaP3Xn73emhT,blues rock,deep new americana,funk,indie folk
65,Blow Me,DJ D,spotify:track:2ohXvQLyB5RbZ0du4fAQHX,0.461,0.93,8,-8.343,0,0.187,0.0531,0.733,0.177,0.14,163.93400000000003,371984,4,48.209559999999996,19,0,2ohXvQLyB5RbZ0du4fAQHX,7rPru5POhHFkrg62q9zuyD,gabba,hardcore techno,0,0
66,Still Broken,Plan Three,spotify:track:2ajt6aQwvgu2eJbNIZhJFY,0.51,0.8809999999999999,11,-4.3839999999999995,0,0.0354,0.000591,1.4599999999999999e-05,0.131,0.278,91.03399999999999,232093,4,31.97236,9,0,2ajt6aQwvgu2eJbNIZhJFY,3nsv5EHlrDfwOhsf2pErtS,gymcore,hard alternative,swedish alternative rock,0
67,Life Ain't Always Beautiful,Gary Allan,spotify:track:3unLUM6bJcy5beGawHpynM,0.48100000000000004,0.508,2,-7.666,1,0.0248,0.21600000000000003,0.000175,0.105,0.268,86.01299999999999,224613,4,71.34437,7,1,3unLUM6bJcy5beGawHpynM,37W8SKV5Vc8lcGtdyWCA5m,contemporary country,country,country road,modern country rock
68,Kiss A Girl,Keith Urban,spotify:track:4DyKZmONpoggnn3piyjad2,0.653,0.7859999999999999,2,-5.417999999999999,1,0.0338,0.0103,2.19e-06,0.201,0.47700000000000004,120.992,226733,4,33.553259999999995,9,1,4DyKZmONpoggnn3piyjad2,0u2FHSq3ln94y5Q57xazwf,australian country,australian pop,contemporary country,country
69,Open House,Guru,spotify:track:2nIQLI6m0qgjuZ6eO3f7r3,0.7440000000000001,0.7390000000000001,4,-6.272,0,0.307,0.11900000000000001,0.0,0.106,0.6779999999999999,79.245,185582,4,28.99861,8,0,2nIQLI6m0qgjuZ6eO3f7r3,6xyaria4AcxjRuJZLkWvMW,boston hip hop,east coast hip hop,hardcore hip hop,hip hop
70,1000 Estrellas,Charlie 3,spotify:track:4dk59nVJKBJCPupuL6RGae,0.473,0.722,5,-5.176,1,0.0358,0.00507,0.0,0.377,0.5489999999999999,149.625,256000,4,40.17949,11,0,4dk59nVJKBJCPupuL6RGae,3RwrtPalOirm2bzT7B1NPS,argentine punk,latincore,0,0
71,Another Postcard (Chimps),Barenaked Ladies,spotify:track:6rMx1neL9mLYivQ5U6PFk3,0.621,0.747,1,-6.5520000000000005,0,0.0782,0.00227,0.000234,0.0449,0.726,172.31,205267,4,63.6742,8,1,6rMx1neL9mLYivQ5U6PFk3,0dEvJpkqhrcn64d3oI8v79,canadian pop,canadian rock,comic,neo mellow
72,As Good As I Once Was,Toby Keith,spotify:track:7G6l2FtQyRhQgYgut2I6i8,0.68,0.87,5,-4.461,1,0.0393,0.266,0.0,0.109,0.6459999999999999,119.075,227840,4,57.79785,10,1,7G6l2FtQyRhQgYgut2I6i8,2bA6fzP0lMAQ4kz6CF61w8,contemporary country,country,country road,oklahoma country
73,Headsprung,LL Cool J,spotify:track:1GIN41bLhiKeEPeC2vXH8i,0.718,0.7859999999999999,0,-5.76,1,0.0284,0.0114,2.5e-05,0.0745,0.465,99.916,267320,4,40.33202,20,1,1GIN41bLhiKeEPeC2vXH8i,1P8IfcNKwrkQP5xJWuhaOC,east coast hip hop,hardcore hip hop,hip hop,hip pop
74,Polonaise Brilliante,Nikolai Kapustin,spotify:track:3sO3HX4EP1jS9rZW9OvHCN,0.387,0.268,0,-13.995999999999999,1,0.0348,0.995,0.828,0.0942,0.337,113.35700000000001,518227,4,28.63663,17,0,3sO3HX4EP1jS9rZW9OvHCN,4zTPXx27j9bFvcnui3sRNI,russian contemporary classical,0,0,0
75,Forever Heavy,Black Moth Super Rainbow,spotify:track:56e8Ac9LVRJf3SvVa9vVg0,0.384,0.735,5,-4.856,0,0.0383,0.703,0.9209999999999999,0.23199999999999998,0.276,133.906,256013,4,78.69983,10,0,56e8Ac9LVRJf3SvVa9vVg0,4UHzJP2iKVf0RhKIv7ZE2l,chillwave,experimental pop,freak folk,indietronica
76,Treasure,Trevor Rabin,spotify:track:2X42kkAi74tp2Je6OuML6c,0.064,0.0794,3,-16.971,1,0.0403,0.43200000000000005,0.8959999999999999,0.151,0.0356,63.29,218947,4,57.702169999999995,12,0,2X42kkAi74tp2Je6OuML6c,23ukNzhMiRiYgORi3n3RJq,classic soundtrack,epicore,scorecore,soundtrack
