Dataset 1: Breast Cancer
Feedforward Neural Network Model for Fold 1:
Number of Hidden Layers: 0
Number of Hidden Dimensions: 0
n: 1
Epochs: 5
     Actual  Predicted
18        2          2
19        2          2
20        2          2
21        2          2
22        4          4
23        2          2
24        4          4
25        2          2
26        4          4
27        2          2
28        4          4
29        4          4
30        4          4
31        4          4
32        2          2
33        4          4
34        2          2
35        4          4
36        2          2
37        2          2
38        4          4
39        4          4
40        2          2
41        2          2
42        2          2
43        2          2
44        2          2
45        4          4
46        2          2
47        4          4
48        2          2
49        2          2
50        2          2
51        2          2
52        2          2
53        4          4
54        4          4
55        2          2
56        2          2
57        4          4
58        4          4
59        2          2
60        2          2
61        2          2
62        2          2
63        4          2
64        2          4
65        4          4
66        4          4
67        2          4
68        2          2
69        2          2
70        2          2
71        2          2
72        4          4
73        2          2
74        2          2
75        4          4
76        2          2
77        4          2
78        2          2
79        2          2
80        2          2
81        2          2
82        4          2
83        4          4
84        2          2
85        2          2
86        2          2
87        2          2
88        2          2
89        2          2
90        2          2
91        4          4
92        2          2
93        4          4
94        4          4
95        2          2
96        4          4
97        2          2
98        2          2
99        2          2
100       2          2
101       2          4
102       2          2
103       2          2
104       4          4
105       4          4
106       2          2
107       2          2
108       2          2
109       4          4
110       2          2
111       2          2
112       4          4
113       2          2
114       2          2
115       2          2
116       4          4
117       2          2
118       4          4
119       2          2
120       4          4
121       2          2
122       2          2
123       4          4
124       2          2
125       2          2
Error: 5.56

0 Hidden Layer Error: 8.73
1 Hidden Layer Error: 5.56
2 Hidden Layer Error: 5.56

Dataset 2: Glass
Feedforward Neural Network Model for Fold 1:
Number of Hidden Layers: 0
Number of Hidden Dimensions: 0
n: 1
Epochs: 13
    Actual  Predicted
0        3          2
1        7          7
2        2          2
3        1          1
4        3          2
5        1          1
6        1          1
7        2          2
8        1          1
9        1          1
10       1          1
11       1          1
12       1          1
13       5          7
14       2          2
15       1          1
16       2          2
17       1          1
18       2          2
19       3          2
20       3          2
21       7          2
22       5          2
23       2          2
24       1          1
25       1          1
26       5          7
27       2          2
28       7          7
29       1          1
30       7          7
31       1          1
32       2          1
33       7          7
34       2          2
35       1          1
36       1          1
37       2          2
38       1          1
Error: 23.08

Feedforward Neural Network Model for Fold 1:
Number of Hidden Layers: 1
Number of Hidden Dimensions: 2
n: 1
Epochs: 198
    Actual  Predicted
0        1          1
1        1          1
2        1          1
3        2          2
4        1          1
5        6          2
6        1          1
7        6          7
8        7          7
9        2          1
10       5          7
11       2          2
12       1          1
13       1          1
14       1          1
15       2          2
16       2          7
17       1          1
18       2          2
19       1          1
20       7          7
21       1          1
22       1          1
23       1          1
24       1          1
25       1          1
26       2          2
27       1          1
28       1          1
29       3          2
30       2          2
31       1          1
32       1          1
33       2          2
34       7          7
35       1          1
36       1          1
37       1          1
38       5          7
Error: 17.95

Feedforward Neural Network Model for Fold 1:
Number of Hidden Layers: 2
Number of Hidden Dimensions: [3, 2]
n: 0.1
Epochs: 139
    Actual  Predicted
0        2          2
1        1          1
2        1          1
3        1          1
4        7          7
5        1          1
6        2          2
7        2          2
8        1          1
9        2          2
10       1          1
11       6          2
12       2          2
13       7          7
14       1          1
15       2          2
16       1          1
17       1          1
18       3          2
19       6          7
20       2          2
21       2          2
22       5          2
23       7          2
24       1          1
25       5          7
26       2          2
27       7          7
28       5          7
29       1          1
30       7          7
31       1          1
32       1          1
33       2          2
34       1          1
35       3          2
36       2          2
37       2          2
38       1          1
Error: 20.51


0 Hidden Layer Error: 23.08
1 Hidden Layer Error: 17.95
2 Hidden Layer Error: 20.51

Dataset 3: Soybean (small)
Feedforward Neural Network Model for Fold 1:
Number of Hidden Layers: 0
Number of Hidden Dimensions: 0
n: 1
Epochs: 27
  Actual Predicted
0     D4        D4
1     D4        D4
2     D2        D2
3     D4        D4
4     D4        D4
5     D1        D1
6     D3        D4
7     D3        D4
Error: 25.0

Feedforward Neural Network Model for Fold 1:
Number of Hidden Layers: 1
Number of Hidden Dimensions: 4
n: 1
Epochs: 144
  Actual Predicted
0     D4        D4
1     D3        D3
2     D1        D1
3     D3        D3
4     D3        D3
5     D2        D2
6     D4        D4
7     D2        D2
Error: 0.0

Feedforward Neural Network Model for Fold 1:
Number of Hidden Layers: 2
Number of Hidden Dimensions: [1, 1]
n: 0.1
Epochs: 35
  Actual Predicted
0     D3        D4
1     D1        D4
2     D3        D4
3     D4        D4
4     D1        D4
5     D4        D4
6     D2        D4
7     D2        D4
Error: 75.0

0 Hidden Layer Error: 25.0
1 Hidden Layer Error: 0.0
2 Hidden Layer Error: 75.0

Dataset 4: Abalone
Feedforward Neural Network Model for Fold 1:
Number of Hidden Layers: 0
Number of Hidden Dimensions: 0
n: 0.1
Epochs: 37
     Actual  Predicted
0      10.0  11.716589
1      10.0  12.633672
2       9.0  12.591588
3       9.0   9.133463
4      13.0  12.957961
5      18.0  11.397856
6      11.0  12.556871
7       7.0   7.923439
8       8.0   8.241991
9       8.0   7.227673
10     12.0  10.193884
11      8.0   8.103190
12     16.0  11.187331
13      9.0   9.385915
14     19.0  10.965312
15     16.0  11.024818
16      9.0  11.172623
17     14.0  11.647537
18     15.0  11.471786
19      9.0  11.276136
20      6.0   6.855020
21     14.0  11.362646
22     10.0  11.898292
23     11.0   8.293628
24      9.0   9.610379
25     11.0   8.997987
26      9.0  10.323101
27     14.0  12.516519
28      6.0   6.985223
29      8.0   9.054314
30      7.0   9.300924
31      5.0   6.631682
32     10.0  11.812253
33     17.0  10.623760
34      8.0   7.964366
35     10.0  11.262951
36     15.0  10.617522
37      6.0   6.870406
38      8.0   7.750690
39      8.0   8.055740
40     11.0  12.303089
41     13.0  10.600288
42     10.0  10.696041
43     11.0  10.078052
44      9.0  11.364264
45     10.0  11.384798
46      6.0   7.283433
47      9.0   9.517385
48      7.0   8.678831
49      9.0   9.186463
50     15.0  11.108224
51      5.0   6.409652
52      4.0   4.798300
53     11.0  10.626844
54      9.0   8.458059
55     11.0   8.834881
56     11.0  12.663104
57     15.0  13.569509
58     12.0  11.377567
59     12.0  13.013218
60     10.0  12.032152
61      9.0  11.236161
62      8.0   9.151583
63      9.0  10.998710
64      7.0   7.271939
65      8.0   8.874659
66     14.0  10.574781
67      9.0   8.501202
68     11.0  12.742238
69     10.0  10.572771
70      9.0  10.055551
71      7.0   6.696839
72     14.0  10.615646
73      8.0   6.566963
74     17.0  10.635527
75     10.0  11.193550
76      6.0   7.407645
77     11.0   9.706206
78      8.0   8.616698
79      8.0   8.964282
80     11.0   9.376604
81     11.0  12.709096
82     11.0  11.806757
83      9.0   8.241343
84     16.0  15.689983
85     13.0  12.050847
86     12.0  10.041611
87     13.0   9.325756
88      6.0   6.941437
89      9.0  10.538567
90      7.0   7.635570
91     13.0  10.860985
92      8.0   8.701651
93      9.0  11.170856
94     14.0  11.987320
95      4.0   5.706293
96     11.0  11.516143
97     13.0   6.841866
98      9.0   9.669241
99     10.0  11.549298
100     6.0   6.975625
101    11.0   9.241700
102     8.0   7.648872
103    16.0  12.256160
104    10.0  11.946762
105    11.0   9.607006
106     6.0   8.251444
107    15.0  12.631423
108     9.0   8.796826
109    20.0  10.586240
110     8.0  10.431333
111    15.0   9.902596
112     6.0   7.780149
113     9.0   8.509666
114     9.0  12.303332
115     9.0  10.046644
116     9.0  10.791114
117     7.0   6.730424
118     5.0   6.213260
119    10.0  10.325660
120    15.0  11.763227
121    13.0   9.814392
122    19.0  14.531803
123    18.0  10.828602
124     9.0   9.307365
125    20.0  10.866358
126     6.0   7.088006
127    10.0   8.730999
128    12.0  13.926138
129    10.0   9.950823
130     6.0   6.673329
131    10.0  11.674580
132     9.0  10.308443
133     7.0   7.954599
134    16.0  14.434001
135     6.0   7.858788
136    10.0  13.295018
137     9.0   9.466969
138     9.0  10.869565
139    10.0  10.700276
140    13.0   9.751955
141     7.0   7.220921
142     9.0  11.813290
143    13.0  10.141190
144    13.0  10.732683
145    11.0  11.865670
146     9.0   8.639689
147     5.0   6.156958
148     8.0   9.220952
149     9.0  10.811942
150    11.0  11.384041
151    10.0   9.132135
152    11.0   9.167988
153    11.0  12.669781
154     8.0  11.083208
155    10.0  11.455321
156     9.0   8.205767
157    16.0   8.741244
158     8.0  10.068181
159    14.0  10.849015
160    10.0  10.874295
161    12.0  10.592492
162     8.0   8.826424
163    15.0  11.598309
164     6.0   6.547669
165    16.0  11.308734
166     6.0   6.814233
167     7.0   8.594968
168     8.0  10.540700
169     9.0   8.202009
170    14.0  10.595034
171    11.0  11.045450
172    12.0  12.125788
173     7.0   8.337196
174    11.0  11.326133
175     9.0  10.964275
176     8.0   9.469662
177     9.0   8.930158
178     7.0   7.741860
179     7.0   9.678116
180     7.0   7.043198
181    10.0  10.326734
182    11.0  10.358638
183    11.0  11.681310
184     9.0  11.684191
185     7.0   7.664188
186    10.0  11.297997
187     6.0   7.150357
188    12.0  12.929016
189    12.0  11.020831
190    11.0   9.815977
191    16.0  10.653491
192     5.0   6.199761
193     9.0  10.072516
194     9.0   9.291731
195    10.0  10.959857
196     7.0   7.439309
197    11.0  13.856965
198     9.0  10.391073
199     4.0   5.559739
200     8.0  10.535064
201     7.0   8.277382
202    16.0  12.148860
203    21.0  12.486932
204     7.0   9.311671
205     9.0  10.468078
206     4.0   6.445063
207     9.0   9.919073
208    11.0  11.203010
209     8.0   9.938663
210    10.0   9.805007
211    10.0   9.484628
212     8.0   9.657650
213     9.0   9.428202
214    10.0   9.776610
215    13.0   9.907057
216    11.0  12.413872
217     9.0   9.981621
218    10.0  12.031853
219     9.0   9.099740
220     9.0  10.931829
221    11.0  12.121748
222     8.0   7.802722
223     5.0   7.382393
224     7.0   8.915391
225    16.0   8.613275
226     9.0   9.957132
227    10.0  10.131195
228     9.0  10.653203
229    10.0  10.308754
230     7.0   9.208646
231    12.0  10.720012
232    10.0  11.920278
233    23.0  13.330960
234     8.0   8.962090
235    14.0  10.901266
236     9.0   7.468557
237    11.0  11.411015
238    11.0   9.156561
239     9.0   7.618353
240    10.0   7.086875
241     9.0  10.408125
242     8.0   8.915035
243     9.0  10.534945
244     9.0  10.630936
245    11.0  10.205340
246     6.0   7.465696
247    16.0  12.655446
248     8.0   9.682817
249     9.0  11.188483
250     7.0   7.941836
251     8.0   9.701942
252     4.0   5.992919
253    10.0  13.470459
254     8.0   7.960746
255    10.0  10.241941
256     7.0   7.801622
257    10.0  10.083157
258    10.0  11.626805
259     7.0   7.491256
260    12.0  11.861665
261     8.0   9.312335
262     9.0  11.414116
263    12.0  12.814784
264    10.0  10.936793
265    12.0   8.738959
266     8.0   7.217634
267     6.0   7.147906
268    11.0   9.400134
269     8.0   7.092002
270    12.0   9.319978
271    10.0  13.033986
272     9.0  11.361107
273    10.0  11.310171
274    18.0  11.661974
275    12.0  11.778575
276    11.0  13.985523
277     9.0   7.896603
278     9.0  11.979711
279     5.0   5.984806
280     9.0  11.514536
281    10.0  10.767399
282    13.0   9.895212
283    12.0  11.165005
284    10.0  10.470593
285     7.0  10.105822
286    11.0  11.471326
287    10.0  10.040058
288    13.0  10.733740
289     7.0   6.731314
290    11.0  11.823720
291     6.0   8.028822
292    10.0  10.593417
293     5.0   5.338334
294    12.0  10.488716
295     8.0  10.291010
296     9.0  10.515453
297    11.0  12.461246
298    10.0  11.010442
299     9.0  11.055376
300     9.0   9.059040
301     8.0   9.042569
302     9.0   8.513625
303     6.0   8.503537
304     8.0   8.172067
305    14.0  10.777312
306     8.0   9.991647
307    11.0   8.681596
308    13.0  10.452318
309    17.0  14.346549
310    10.0   9.868854
311     9.0  10.798290
312    10.0  10.538141
313     4.0   5.856931
314     7.0   9.265935
315     8.0   9.473645
316     7.0   7.047935
317     8.0   9.380451
318    10.0  10.969675
319     8.0  11.369703
320    11.0  11.626127
321    10.0  10.817992
322     9.0  10.374900
323     8.0   9.582288
324    11.0  10.420812
325     3.0   5.624508
326     7.0   8.137805
327     9.0  12.543982
328    12.0  10.558428
329     8.0   8.202652
330    10.0   8.355062
331     7.0   8.587099
332    11.0  12.092945
333     9.0   9.871498
334     9.0  10.845637
335    20.0  13.210492
336     7.0   8.625842
337     9.0   9.462429
338     6.0   7.467988
339    14.0  13.010388
340    12.0  11.888019
341    16.0  12.184299
342    10.0  11.736862
343    19.0  14.199448
344     8.0   8.313384
345     4.0   5.599249
346    10.0  11.097867
347     9.0   7.809184
348     9.0   9.787556
349    10.0  11.070922
350    19.0  11.380808
351     8.0   8.396034
352    13.0  12.260763
353     6.0   8.753175
354     9.0  11.228090
355     8.0   8.919517
356    10.0  10.864750
357     4.0   5.929491
358    12.0  12.633457
359     9.0  10.067867
360    10.0  12.068100
361    10.0   7.610123
362    10.0  12.540360
363     6.0   7.460744
364    10.0  11.794838
365    12.0   9.667576
366     7.0   9.752657
367    10.0  10.925727
368     9.0  10.048077
369     7.0   7.927219
370     7.0   7.579835
371     9.0   9.469156
372    15.0  10.059730
373     8.0   8.608885
374     9.0   9.629362
375     8.0  12.053642
376     8.0   6.265278
377    16.0  12.923486
378     6.0   7.391033
379     5.0   5.043464
380     8.0  10.691583
381     7.0   7.172601
382     9.0   8.905306
383    10.0   7.905828
384     8.0   8.776060
385    17.0  14.740591
386     3.0   5.780974
387     6.0   8.194340
388    16.0  12.157300
389     5.0   6.049368
390    14.0  11.007563
391     6.0   6.780357
392    10.0   9.442084
393    11.0  12.995922
394    10.0  10.668205
395     8.0   8.672118
396    11.0  10.508785
397     7.0   9.084604
398    14.0  13.871055
399     7.0   8.635538
400     9.0  10.378042
401     9.0  10.364910
402    17.0  11.528482
403    15.0  11.562052
404     9.0   8.735850
405     9.0   9.097676
406    12.0   8.149757
407     8.0   9.182236
408    10.0  12.093212
409     7.0   7.385859
410     7.0   7.478152
411     9.0   7.817954
412    15.0  11.548748
413     9.0   8.828506
414    10.0  11.183633
415    14.0  10.413495
416    12.0   9.971983
417    19.0  12.267930
418    10.0  11.454987
419     3.0   4.695180
420     4.0   5.147422
421    11.0  10.259823
422    11.0  10.523187
423    14.0  12.398159
424    11.0   9.952675
425     9.0  10.762865
426     8.0   8.077240
427     9.0  10.025459
428    11.0  10.169555
429    10.0  11.005766
430     5.0   5.622001
431     8.0   9.347554
432    10.0   9.896548
433     9.0  12.267196
434     7.0   7.570310
435    10.0  11.189657
436     8.0   8.253660
437    10.0  10.015759
438    27.0  16.283868
439    14.0  10.068940
440     5.0   8.047269
441     9.0  11.732452
442    17.0  10.463316
443    11.0  11.562450
444    10.0  10.915353
445     8.0   8.853664
446     8.0  10.308427
447    11.0  10.216607
448     7.0   6.197595
449    10.0  11.375880
450    10.0  11.286915
451     9.0   9.907857
452    10.0  11.791662
453    15.0  14.523480
454     9.0  10.688498
455    14.0  11.738988
456    12.0   8.718746
457     8.0   9.720219
458     6.0   6.810217
459     9.0   9.935382
460    10.0  10.083599
461     8.0  10.888433
462     9.0  10.103206
463    17.0  12.553708
464     7.0   7.047923
465     6.0   6.750440
466     8.0   9.066410
467    10.0  12.900364
468     8.0   8.886718
469    11.0  13.136223
470     6.0   8.911581
471     9.0  12.248714
472    13.0  11.217265
473     7.0   7.720446
474    10.0  11.090111
475     6.0   8.785804
476    11.0  11.265262
477     6.0   7.852053
478    10.0  11.468093
479     8.0   7.382323
480    10.0   9.296071
481     9.0  11.430595
482    15.0  10.923058
483     8.0   7.899184
484    10.0  11.492029
485    10.0   9.498359
486     5.0   7.234790
487     7.0   8.579521
488    13.0  10.559019
489    11.0  10.429433
490    11.0   9.540422
491     9.0  10.585862
492    15.0   9.954767
493    17.0  11.289560
494     9.0  12.048570
495     9.0   9.813456
496     4.0   6.210967
497    10.0  11.784976
498     7.0   6.177734
499    12.0  11.452935
500     8.0   8.690229
501     8.0   9.829099
502     7.0   7.709279
503    12.0  12.864801
504     9.0   8.043051
505     9.0  11.174896
506     8.0   8.699235
507     4.0   5.929203
508     6.0   7.462450
509     9.0   8.694592
510    12.0   8.082449
511     5.0   6.695251
512     8.0   9.901319
513     8.0   8.558159
514     8.0   8.019814
515    14.0   9.738887
516     6.0   6.321198
517     7.0   9.113441
518     6.0   5.356816
519     7.0   7.678695
520    11.0   9.741042
521    10.0  11.894201
522    11.0  11.055830
523     6.0   6.292723
524     7.0   8.514942
525     9.0  10.955899
526    12.0  10.118840
527     8.0   9.663297
528     6.0   6.598014
529     7.0   9.018094
530    12.0  11.602514
531    14.0  11.141323
532     9.0  10.403818
533     5.0   6.809969
534    11.0   9.005306
535     7.0   8.547023
536     9.0   7.413675
537     9.0   8.535633
538     6.0   7.666752
539    11.0  10.727693
540    11.0  12.396828
541    13.0   9.736015
542     8.0  10.034694
543    10.0  13.001903
544     9.0   8.620182
545    12.0  10.339825
546     9.0  10.683547
547     9.0   8.180328
548    11.0  10.573786
549     8.0  10.866905
550     6.0   7.879645
551     4.0   5.088655
552    12.0  10.687461
553     7.0   9.333308
554     8.0   8.310597
555     3.0   4.802349
556    10.0   7.292980
557    16.0   9.688536
558    11.0  11.264362
559     9.0  10.605476
560    10.0  10.631167
561    10.0  10.273221
562    23.0  11.602080
563    14.0  13.282836
564     9.0   9.880656
565    10.0  10.072212
566    26.0  12.404224
567     7.0   7.328714
568     7.0   8.217119
569    12.0  11.028790
570     9.0  11.809869
571    11.0  12.235572
572     6.0   7.573117
573     9.0  11.888943
574    12.0  10.448293
575    11.0  13.192986
576     7.0   6.211571
577     7.0   7.303134
578     8.0  10.986959
579     8.0   9.708377
580     8.0   8.394030
581     9.0   8.757105
582     8.0   9.108330
583    11.0  12.020872
584    11.0  11.217530
585     7.0   9.203093
586    10.0  10.830583
587    10.0  10.997081
588    11.0  10.518713
589    10.0  10.974917
590    13.0  12.130610
591     8.0   7.061559
592     6.0   7.361443
593    10.0  10.611723
594    12.0   9.245314
595    12.0  12.478905
596    13.0  11.283987
597    10.0  10.023010
598     9.0   9.082494
599    12.0   9.060673
600     5.0   6.563913
601    10.0   9.994336
602    13.0  12.890282
603    11.0  12.761812
604    10.0   9.494668
605     9.0  10.417888
606     7.0   8.346339
607    10.0  11.242800
608     7.0   9.227579
609     9.0   8.885511
610     9.0  10.287529
611    13.0  10.256378
612     8.0   9.531748
613    10.0  10.379991
614    12.0  13.043318
615     9.0   8.011196
616    11.0  11.723123
617     7.0   8.188589
618    10.0  13.161911
619     9.0  10.735830
620     8.0   9.185845
621    14.0  11.653835
622     4.0   4.985950
623    11.0  11.748424
624     9.0   8.490926
625     8.0  10.689173
626     7.0   7.474563
627    10.0   9.429975
628    13.0  12.328950
629    11.0  11.496911
630     7.0   9.428294
631     9.0   8.266173
632     6.0   7.408498
633     9.0  10.189927
634    10.0  11.016148
635    11.0   9.510085
636    11.0  10.694500
637     6.0   7.037512
638    13.0  11.517608
639    10.0   9.723386
640    12.0  10.605412
641    11.0  11.335014
642     7.0   7.538244
643     8.0   9.339426
644     8.0   9.629185
645    12.0  12.853944
646    11.0  11.931041
647     6.0   6.484374
648    10.0  10.543550
649     6.0   8.357432
650     8.0   8.700127
651     8.0  10.195601
652    10.0  11.265414
653    11.0  10.812337
654     6.0   9.721188
655     7.0  10.147741
656     8.0   9.117008
657    11.0  10.825817
658    12.0  11.463711
659     8.0   7.890273
660    11.0   9.279908
661    11.0  10.028902
662    10.0  10.636237
663    10.0   9.148290
664    11.0  11.684460
665    10.0   9.395256
666     7.0   9.691078
667     9.0  11.778181
668    12.0  10.124556
669     8.0   7.233913
670     8.0   7.949374
671     9.0   9.121065
672     7.0   8.025038
673    13.0  10.521833
674     6.0   6.938375
675    12.0  12.092487
676    13.0  10.762608
677     9.0   9.998274
678     6.0   7.902896
679     5.0   7.320810
680    10.0  10.470549
681    10.0  11.164489
682    13.0  12.047688
683    12.0  12.730312
684     8.0   8.862347
685     8.0  11.007281
686     8.0   9.137401
687     8.0   9.284947
688     9.0   9.539236
689    14.0  10.147476
690    15.0  11.767447
691    11.0  13.341918
692     6.0   7.868752
693    17.0  13.485192
694     8.0   8.832919
695     7.0   6.374706
696     8.0   8.979822
697    10.0  11.037144
698     8.0   8.790334
699     5.0   6.788155
700    12.0  11.261431
701    10.0  11.213265
702     8.0  10.237860
703     9.0   9.735757
704    11.0  10.206637
705     4.0   6.678477
706    10.0  11.598398
707     9.0   8.724119
708    11.0  11.746583
709    11.0  10.745331
710     8.0   8.190970
711     8.0   9.722896
712    10.0   9.525051
713    12.0  11.448514
714    12.0  11.041595
715     7.0   8.583380
716     9.0   7.297841
717     5.0   4.668792
718     4.0   5.363798
719    10.0   8.720459
720     8.0   9.004095
721    11.0  10.482214
722    12.0  11.773431
723    11.0  11.375545
724    13.0  11.613268
725     9.0  12.594870
726     4.0   4.921835
727     8.0   8.251291
728    13.0  10.933071
729     9.0   8.363221
730    10.0   9.946483
731     9.0  11.479493
732     7.0   8.067304
733    20.0  11.573946
734    10.0  10.271687
735    14.0   9.978712
736    10.0   8.810835
737    11.0   9.797201
738     7.0   9.399483
739    12.0  12.455024
740    19.0  10.898313
741     7.0   9.528285
742     8.0   7.207714
743    12.0  10.682193
744    12.0  10.800147
745    11.0  11.108349
746    12.0  10.658424
747     8.0   7.736987
748     9.0   8.811584
749     9.0   8.924741
750     8.0   9.266388
751    11.0  10.511075
Error: 0.5

Feedforward Neural Network Model for Fold 1:
Number of Hidden Layers: 1
Number of Hidden Dimensions: 4
n: 1
Epochs: 952
     Actual  Predicted
0       8.0   6.546382
1       9.0   6.971583
2       7.0  11.461194
3      12.0  10.390035
4      10.0   9.810691
5       8.0   8.601438
6       7.0   6.733562
7       7.0   6.957603
8       8.0   7.757072
9       7.0   7.941820
10      9.0  11.073134
11     14.0  10.714568
12     11.0  12.349306
13      9.0   9.078790
14     15.0   9.611493
15      8.0   8.525011
16     15.0   8.474065
17     11.0  11.634294
18      9.0  10.569391
19     10.0   8.804406
20      9.0   9.663098
21      8.0   6.292678
22      9.0  11.114122
23      8.0   9.160096
24      9.0   8.698699
25     11.0  11.996911
26      9.0  10.389878
27      3.0   4.020275
28      9.0   9.728175
29     10.0   9.795552
30      6.0   6.998922
31     10.0   9.997621
32      8.0  10.047569
33     10.0   8.623488
34      8.0   7.464457
35     10.0   9.638305
36     10.0   8.917220
37      8.0  15.785254
38     10.0  11.248324
39     10.0  11.834709
40     10.0  10.670852
41      7.0   7.546316
42     10.0   9.978610
43     12.0  10.765706
44      6.0   7.181867
45      9.0   9.720720
46     12.0   9.653405
47      6.0   8.144643
48      6.0   8.002088
49      8.0   7.607714
50      8.0  10.275700
51      9.0  10.499495
52     10.0   9.955354
53     11.0   9.951155
54     11.0   9.966794
55      8.0   9.242376
56      8.0   7.840346
57     11.0  10.835206
58      9.0  10.065005
59      7.0   8.127911
60     16.0  12.975910
61      7.0   8.765465
62      8.0   7.819403
63      9.0   8.214503
64      8.0   7.783856
65      8.0   8.297192
66     20.0  15.302640
67     23.0  15.894451
68     11.0  12.432120
69      5.0   4.611827
70     10.0  11.751637
71     22.0  14.515951
72      7.0   7.096493
73     12.0   9.491006
74      9.0  10.118536
75     11.0  10.226060
76     11.0   6.688592
77     12.0  10.616571
78     12.0  12.147648
79     11.0   9.384981
80      6.0   7.558881
81      6.0   6.488364
82      8.0  10.185075
83      8.0   9.134756
84      8.0   8.018299
85      7.0   7.869532
86     10.0   9.392217
87      7.0   5.873294
88      5.0   6.299702
89      6.0   7.163445
90      9.0   9.505836
91      9.0   9.858876
92     13.0  13.404657
93      9.0   7.123200
94      7.0   5.788510
95     13.0  14.744133
96     11.0   9.218971
97     10.0  10.210690
98      9.0  10.351212
99      7.0   7.940043
100    10.0  10.434213
101    12.0  10.507505
102    15.0  11.835630
103     8.0   7.468806
104     7.0   7.851454
105    10.0  10.069245
106     9.0   9.567748
107     8.0  10.622963
108    23.0  13.708547
109     7.0   7.791804
110    18.0  15.283002
111    21.0   9.122384
112     9.0  10.501813
113     7.0   6.736995
114     9.0   8.678339
115     8.0   8.614668
116     7.0   7.034942
117     7.0   7.383068
118     9.0  10.583529
119     6.0   6.403428
120    11.0   9.624059
121     8.0   6.602439
122     9.0   9.822907
